./mergedHard/EQ_AddEQ_UnchLoop/libA: equiv,0.1648  , equiv,0.1923  , equiv,0.2832  , equiv,0.0914  
./mergedHard/EQ_AddEQ_UnchLoop/libB: equiv,30.3136 , equiv,0.1970  , equiv,30.7417 , equiv,0.1004  
./mergedHard/EQ_AddEQ_is_prime2/libA: equiv,0.2215  , equiv,0.2486  , equiv,0.4104  , equiv,0.1263  
./mergedHard/EQ_AddEQ_is_prime2/libB: equiv,1.0980  , equiv,0.3462  , equiv,1.2322  , timeout,300.0000
./mergedHard/EQ_AddEQ_odd/libA: equiv,0.2262  , equiv,0.2437  , equiv,0.3313  , equiv,0.1088  
./mergedHard/EQ_AddEQ_odd/libB: equiv,1.8355  , equiv,0.2588  , equiv,2.1623  , timeout,300.0000
./mergedHard/EQ_AddEQ_pos/libA: equiv,0.2401  , equiv,0.2744  , equiv,0.4270  , equiv,0.1071  
./mergedHard/EQ_AddEQ_pos/libB: not equiv,1.0425  , not equiv,0.7174  , not equiv,0.8501  , not equiv,0.1729  
./mergedHard/EQ_AddEQ_pos2/libA: equiv,0.2455  , equiv,0.2782  , equiv,0.3994  , equiv,0.1074  
./mergedHard/EQ_AddEQ_pos2/libB: equiv,33.0346 , equiv,0.2691  , equiv,33.3571 , timeout,300.0000
./mergedHard/EQ_AddEXTRA_prime_sum/libA: equiv,0.3336  , equiv,0.4076  , equiv,0.3971  , timeout,300.0000
./mergedHard/EQ_AddEXTRA_prime_sum/libB: not equiv,40.9817 , not equiv,3.2482  , not equiv,3.8722  , not equiv,0.1353  
./mergedHard/EQ_ConstEQ_UnchLoop/libA: equiv,0.1543  , equiv,0.1999  , equiv,0.2616  , equiv,0.0934  
./mergedHard/EQ_ConstEQ_UnchLoop/libB: equiv,30.3276 , equiv,0.1949  , equiv,30.6734 , equiv,0.0971  
./mergedHard/EQ_ConstEQ_is_prime2/libA: equiv,0.2350  , equiv,0.2555  , equiv,0.4422  , equiv,0.0980  
./mergedHard/EQ_ConstEQ_is_prime2/libB: equiv,0.9344  , equiv,0.2907  , equiv,1.2203  , timeout,300.0000
./mergedHard/EQ_ConstEQ_odd/libA: equiv,0.2166  , equiv,0.2451  , equiv,0.3275  , equiv,0.1073  
