./multLibs/EQ_Add/1 : equiv,0.1668   ; equiv,0.1565   ; equiv,0.1095  
./multLibs/EQ_Add/10: equiv,0.3220   ; equiv,0.4466   ; equiv,0.1014  
./multLibs/EQ_Add/11: equiv,0.3360   ; equiv,0.4793   ; equiv,0.1084  
./multLibs/EQ_Add/12: equiv,0.3567   ; equiv,0.5026   ; equiv,0.1060  
./multLibs/EQ_Add/2 : equiv,0.1646   ; equiv,0.2970   ; equiv,0.1015  
./multLibs/EQ_Add/3 : equiv,0.1633   ; equiv,0.3183   ; equiv,0.1057  
./multLibs/EQ_Add/4 : equiv,0.1793   ; equiv,0.3032   ; equiv,0.1052  
./multLibs/EQ_Add/5 : equiv,0.1995   ; equiv,0.3720   ; equiv,0.1074  
./multLibs/EQ_Add/6 : equiv,0.2032   ; equiv,0.3794   ; equiv,0.1033  
./multLibs/EQ_Add/7 : equiv,0.2389   ; equiv,0.3763   ; equiv,0.1009  
./multLibs/EQ_Add/8 : equiv,0.2580   ; equiv,0.3485   ; equiv,0.1040  
./multLibs/EQ_Add/9 : equiv,0.2806   ; equiv,0.3998   ; equiv,0.1027  
./multLibs/EQ_Const/1: equiv,0.1502   ; equiv,0.1224   ; equiv,0.1046  
./multLibs/EQ_Const/10: equiv,0.3032   ; equiv,0.4399   ; equiv,0.1077  
./multLibs/EQ_Const/11: equiv,0.3409   ; equiv,0.4879   ; equiv,0.1026  
./multLibs/EQ_Const/12: equiv,0.3581   ; equiv,0.4827   ; equiv,0.1130  
./multLibs/EQ_Const/2: equiv,0.1343   ; equiv,0.2812   ; equiv,0.0988  
./multLibs/EQ_Const/3: equiv,0.1675   ; equiv,0.3508   ; equiv,0.1054  
./multLibs/EQ_Const/4: equiv,0.1807   ; equiv,0.3245   ; equiv,0.1047  
./multLibs/EQ_Const/5: equiv,0.2026   ; equiv,0.3201   ; equiv,0.1091  
./multLibs/EQ_Const/6: equiv,0.2177   ; equiv,0.3916   ; equiv,0.1061  
