./nestedMerge/EQ_AddEQ_UnchLoop/libA CC2-Hybrid: unknown  ,0.0000   (Solve) ,,0.000  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: unknown  ,0.0000  	llReve: unknown  ,0.0100  
./nestedMerge/EQ_AddEQ_is_prime2/libA CC2-Hybrid: equiv    ,2.1722   (Solve) ,,1.299  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1115  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_AddEQ_odd/libA     CC2-Hybrid: equiv    ,1.0103   (Solve) ,,0.283  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1034  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_AddEQ_pos/libA     CC2-Hybrid: equiv    ,11.2714  (Solve) ,,11.058 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1176  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_AddEQ_pos2/libA    CC2-Hybrid: equiv    ,0.2780   (Solve) ,,0.145  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0997  	llReve: not equiv ,0.0400  
./nestedMerge/EQ_AddEXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,84.0380  (Solve) ,,82.481 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1490  	llReve: timeout  ,300.0000
./nestedMerge/EQ_ConstEQ_UnchLoop/libA CC2-Hybrid: unknown  ,0.0000   (Solve) ,,0.000  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: unknown  ,0.0000  	llReve: unknown  ,0.0100  
./nestedMerge/EQ_ConstEQ_is_prime2/libA CC2-Hybrid: equiv    ,2.1861   (Solve) ,,1.304  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1143  	llReve: unknown  ,0.0400  
./nestedMerge/EQ_ConstEQ_odd/libA   CC2-Hybrid: equiv    ,1.0021   (Solve) ,,0.282  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0976  	llReve: unknown  ,0.0300  
./nestedMerge/EQ_ConstEQ_pos/libA   CC2-Hybrid: equiv    ,11.2766  (Solve) ,,11.058 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1171  	llReve: unknown  ,0.0300  
./nestedMerge/EQ_ConstEQ_pos2/libA  CC2-Hybrid: equiv    ,0.2853   (Solve) ,,0.149  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1023  	llReve: not equiv ,0.0500  
./nestedMerge/EQ_ConstEXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,77.0987  (Solve) ,,75.521 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1212  	llReve: timeout  ,300.0000
./nestedMerge/EQ_LoopMult20EQ_UnchLoop/libA CC2-Hybrid: unknown  ,0.0000   (Solve) ,,0.000  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: unknown  ,0.0000  	llReve: unknown  ,0.0100  
