./nestedMerge/EQ_AddEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_AddEQ_is_prime2/libA: equiv,2.1722   ; unknown,0.0000   ; equiv,0.1115   ; unknown,0.0200  
./nestedMerge/EQ_AddEQ_odd/libA: equiv,1.0103   ; unknown,0.0000   ; equiv,0.1034   ; unknown,0.0200  
./nestedMerge/EQ_AddEQ_pos/libA: equiv,11.2714  ; unknown,0.0000   ; equiv,0.1176   ; unknown,0.0200  
./nestedMerge/EQ_AddEQ_pos2/libA: equiv,0.2780   ; unknown,0.0000   ; equiv,0.0997   ; not equiv,0.0400  
./nestedMerge/EQ_AddEXTRA_ultra_prime_sum/libA: equiv,84.0380  ; unknown,0.0000   ; equiv,0.1490   ; timeout,300.0000
./nestedMerge/EQ_ConstEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_ConstEQ_is_prime2/libA: equiv,2.1861   ; unknown,0.0000   ; equiv,0.1143   ; unknown,0.0400  
./nestedMerge/EQ_ConstEQ_odd/libA: equiv,1.0021   ; unknown,0.0000   ; equiv,0.0976   ; unknown,0.0300  
./nestedMerge/EQ_ConstEQ_pos/libA: equiv,11.2766  ; unknown,0.0000   ; equiv,0.1171   ; unknown,0.0300  
./nestedMerge/EQ_ConstEQ_pos2/libA: equiv,0.2853   ; unknown,0.0000   ; equiv,0.1023   ; not equiv,0.0500  
./nestedMerge/EQ_ConstEXTRA_ultra_prime_sum/libA: equiv,77.0987  ; unknown,0.0000   ; equiv,0.1212   ; timeout,300.0000
./nestedMerge/EQ_LoopMult20EQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_LoopMult20EQ_is_prime2/libA: not equiv,1.3129   ; unknown,0.0000   ; not equiv,0.4184   ; unknown,0.0400  
./nestedMerge/EQ_LoopMult20EQ_odd/libA: equiv,1.2912   ; unknown,0.0000   ; equiv,0.2543   ; unknown,0.0300  
./nestedMerge/EQ_LoopMult20EQ_pos/libA: equiv,0.7057   ; unknown,0.0000   ; equiv,0.4229   ; unknown,0.0300  
./nestedMerge/EQ_LoopMult20EQ_pos2/libA: equiv,0.3184   ; unknown,0.0000   ; equiv,0.4428   ; not equiv,0.0700  
