./eq/Add                            CC2-Hybrid: equiv    ,0.1363   (Solve) ,,0.037  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0714  	llReve: unknown  ,0.0000  
./eq/Const                          CC2-Hybrid: equiv    ,0.1110   (Solve) ,,0.031  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0718  	llReve: unknown  ,0.0000  
./eq/LoopMult10                     CC2-Hybrid: equiv    ,1.1857   (Solve) ,,0.696  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2454  	llReve: unknown  ,0.0000  
./eq/LoopMult15                     CC2-Hybrid: equiv    ,1.3022   (Solve) ,,0.823  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2834  	llReve: unknown  ,0.0000  
./eq/LoopMult2                      CC2-Hybrid: equiv    ,0.8368   (Solve) ,,0.372  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0736  	llReve: unknown  ,0.0000  
./eq/LoopMult20                     CC2-Hybrid: equiv    ,1.4536   (Solve) ,,0.968  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.3645  	llReve: unknown  ,0.0000  
./eq/LoopMult5                      CC2-Hybrid: equiv    ,1.0210   (Solve) ,,0.547  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1838  	llReve: unknown  ,0.0000  
./eq/LoopUnreach10                  CC2-Hybrid: equiv    ,0.8574   (Solve) ,,0.379  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1166  	llReve: unknown  ,0.0000  
./eq/LoopUnreach15                  CC2-Hybrid: equiv    ,0.8565   (Solve) ,,0.378  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1159  	llReve: unknown  ,0.0000  
./eq/LoopUnreach2                   CC2-Hybrid: equiv    ,0.7821   (Solve) ,,0.313  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0712  	llReve: unknown  ,0.0000  
./eq/LoopUnreach20                  CC2-Hybrid: equiv    ,0.8563   (Solve) ,,0.375  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1160  	llReve: unknown  ,0.0000  
./eq/LoopUnreach5                   CC2-Hybrid: equiv    ,0.8611   (Solve) ,,0.380  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1156  	llReve: unknown  ,0.0000  
./eq/UnchLoop                       CC2-Hybrid: equiv    ,40.2464  (Solve) ,,40.148 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0919  	llReve: unknown  ,0.0000  
./eq/divide                         CC2-Hybrid: equiv    ,0.1405   (Solve) ,,0.043  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1000  	llReve: unknown  ,0.0000  
./eq/getSign2                       CC2-Hybrid: equiv    ,0.7859   (Solve) ,,0.310  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1268  	llReve: unknown  ,0.0000  
./eq/is_prime1                      CC2-Hybrid: equiv    ,0.8732   (Solve) ,,0.372  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0799  	llReve: unknown  ,0.0000  
./eq/is_prime2                      CC2-Hybrid: not equiv ,1.3899   (Solve) ,,1.105  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.7582  	llReve: unknown  ,0.0000  
./eq/is_prime3                      CC2-Hybrid: equiv    ,2.2737   (Solve) ,,1.564  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.7600  	llReve: unknown  ,0.0000  
./eq/ltfive                         CC2-Hybrid: not equiv ,0.6010   (Solve) ,,0.319  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.1817  	llReve: unknown  ,0.0000  
./eq/ltfiveBound                    CC2-Hybrid: equiv    ,0.3984   (Solve) ,,0.217  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1744  	llReve: unknown  ,0.0000  
./eq/multiple                       CC2-Hybrid: not equiv ,0.4204   (Solve) ,,0.228  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.2189  	llReve: unknown  ,0.0000  
./eq/multipleBound                  CC2-Hybrid: equiv    ,0.9651   (Solve) ,,0.470  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.3040  	llReve: unknown  ,0.0000  
./eq/odd                            CC2-Hybrid: equiv    ,12.3922  (Solve) ,,11.890 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0000  
./eq/one                            CC2-Hybrid: not equiv ,0.5756   (Solve) ,,0.300  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.1489  	llReve: unknown  ,0.0000  
./eq/oneBound                       CC2-Hybrid: equiv    ,0.3616   (Solve) ,,0.212  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1736  	llReve: unknown  ,0.0000  
./eq/oneN2                          CC2-Hybrid: not equiv ,0.5315   (Solve) ,,0.296  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.1591  	llReve: unknown  ,0.0000  
./eq/pos                            CC2-Hybrid: equiv    ,11.0137  (Solve) ,,10.866 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0000  
./eq/pos2                           CC2-Hybrid: equiv    ,0.2337   (Solve) ,,0.104  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0000  
./eq/pos3                           CC2-Hybrid: equiv    ,0.8186   (Solve) ,,0.306  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0937  	llReve: unknown  ,0.0000  
./extras/prime_sum                  CC2-Hybrid: equiv    ,47.9287  (Solve) ,,47.384 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0000  
./extras/ultra_prime_sum            CC2-Hybrid: equiv    ,84.7474  (Solve) ,,83.693 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0000  
./neq/LoopMult10                    CC2-Hybrid: not equiv ,1.5661   (Solve) ,,0.946  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.1992  	llReve: unknown  ,0.0000  
./neq/LoopMult15                    CC2-Hybrid: not equiv ,1.7530   (Solve) ,,1.182  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.2492  	llReve: unknown  ,0.0000  
./neq/LoopMult2                     CC2-Hybrid: not equiv ,1.0523   (Solve) ,,0.494  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.0865  	llReve: unknown  ,0.0000  
./neq/LoopMult20                    CC2-Hybrid: not equiv ,1.9957   (Solve) ,,1.388  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.2958  	llReve: unknown  ,0.0000  
./neq/LoopMult5                     CC2-Hybrid: not equiv ,1.2740   (Solve) ,,0.701  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.1592  	llReve: unknown  ,0.0000  
./neq/LoopUnreach10                 CC2-Hybrid: not equiv ,0.3266   (Solve) ,,0.121  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.1211  	llReve: unknown  ,0.0000  
./neq/LoopUnreach15                 CC2-Hybrid: not equiv ,0.3204   (Solve) ,,0.122  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.1206  	llReve: unknown  ,0.0000  
./neq/LoopUnreach2                  CC2-Hybrid: not equiv ,0.3083   (Solve) ,,0.123  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.0877  	llReve: unknown  ,0.0000  
./neq/LoopUnreach20                 CC2-Hybrid: not equiv ,0.3410   (Solve) ,,0.124  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.1209  	llReve: unknown  ,0.0000  
./neq/LoopUnreach5                  CC2-Hybrid: not equiv ,0.3260   (Solve) ,,0.122  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.1212  	llReve: unknown  ,0.0000  
./neq/getSign                       CC2-Hybrid: not equiv ,0.3205   (Solve) ,,0.131  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.1160  	llReve: unknown  ,0.0000  
Skipped: %s ./reve/extras
