./eq/Add            : equiv,0.1363   ; unknown,0.0000   ; equiv,0.0714   ; unknown,0.0000  
./eq/Const          : equiv,0.1110   ; unknown,0.0000   ; equiv,0.0718   ; unknown,0.0000  
./eq/LoopMult10     : equiv,1.1857   ; unknown,0.0000   ; equiv,0.2454   ; unknown,0.0000  
./eq/LoopMult15     : equiv,1.3022   ; unknown,0.0000   ; equiv,0.2834   ; unknown,0.0000  
./eq/LoopMult2      : equiv,0.8368   ; unknown,0.0000   ; equiv,0.0736   ; unknown,0.0000  
./eq/LoopMult20     : equiv,1.4536   ; unknown,0.0000   ; equiv,0.3645   ; unknown,0.0000  
./eq/LoopMult5      : equiv,1.0210   ; unknown,0.0000   ; equiv,0.1838   ; unknown,0.0000  
./eq/LoopUnreach10  : equiv,0.8574   ; unknown,0.0000   ; equiv,0.1166   ; unknown,0.0000  
./eq/LoopUnreach15  : equiv,0.8565   ; unknown,0.0000   ; equiv,0.1159   ; unknown,0.0000  
./eq/LoopUnreach2   : equiv,0.7821   ; unknown,0.0000   ; equiv,0.0712   ; unknown,0.0000  
./eq/LoopUnreach20  : equiv,0.8563   ; unknown,0.0000   ; equiv,0.1160   ; unknown,0.0000  
./eq/LoopUnreach5   : equiv,0.8611   ; unknown,0.0000   ; equiv,0.1156   ; unknown,0.0000  
./eq/UnchLoop       : equiv,40.2464  ; unknown,0.0000   ; equiv,0.0919   ; unknown,0.0000  
./eq/divide         : equiv,0.1405   ; unknown,0.0000   ; equiv,0.1000   ; unknown,0.0000  
./eq/getSign2       : equiv,0.7859   ; unknown,0.0000   ; equiv,0.1268   ; unknown,0.0000  
./eq/is_prime1      : equiv,0.8732   ; unknown,0.0000   ; equiv,0.0799   ; unknown,0.0000  
./eq/is_prime2      : not equiv,1.3899   ; unknown,0.0000   ; not equiv,0.7582   ; unknown,0.0000  
./eq/is_prime3      : equiv,2.2737   ; unknown,0.0000   ; equiv,0.7600   ; unknown,0.0000  
./eq/ltfive         : not equiv,0.6010   ; unknown,0.0000   ; not equiv,0.1817   ; unknown,0.0000  
./eq/ltfiveBound    : equiv,0.3984   ; unknown,0.0000   ; equiv,0.1744   ; unknown,0.0000  
./eq/multiple       : not equiv,0.4204   ; unknown,0.0000   ; not equiv,0.2189   ; unknown,0.0000  
./eq/multipleBound  : equiv,0.9651   ; unknown,0.0000   ; equiv,0.3040   ; unknown,0.0000  
./eq/odd            : equiv,12.3922  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0000  
./eq/one            : not equiv,0.5756   ; unknown,0.0000   ; not equiv,0.1489   ; unknown,0.0000  
./eq/oneBound       : equiv,0.3616   ; unknown,0.0000   ; equiv,0.1736   ; unknown,0.0000  
./eq/oneN2          : not equiv,0.5315   ; unknown,0.0000   ; not equiv,0.1591   ; unknown,0.0000  
./eq/pos            : equiv,11.0137  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0000  
./eq/pos2           : equiv,0.2337   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0000  
./eq/pos3           : equiv,0.8186   ; unknown,0.0000   ; equiv,0.0937   ; unknown,0.0000  
./extras/prime_sum  : equiv,47.9287  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0000  
./extras/ultra_prime_sum: equiv,84.7474  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0000  
./neq/LoopMult10    : not equiv,1.5661   ; unknown,0.0000   ; not equiv,0.1992   ; unknown,0.0000  
./neq/LoopMult15    : not equiv,1.7530   ; unknown,0.0000   ; not equiv,0.2492   ; unknown,0.0000  
./neq/LoopMult2     : not equiv,1.0523   ; unknown,0.0000   ; not equiv,0.0865   ; unknown,0.0000  
./neq/LoopMult20    : not equiv,1.9957   ; unknown,0.0000   ; not equiv,0.2958   ; unknown,0.0000  
./neq/LoopMult5     : not equiv,1.2740   ; unknown,0.0000   ; not equiv,0.1592   ; unknown,0.0000  
./neq/LoopUnreach10 : not equiv,0.3266   ; unknown,0.0000   ; not equiv,0.1211   ; unknown,0.0000  
./neq/LoopUnreach15 : not equiv,0.3204   ; unknown,0.0000   ; not equiv,0.1206   ; unknown,0.0000  
./neq/LoopUnreach2  : not equiv,0.3083   ; unknown,0.0000   ; not equiv,0.0877   ; unknown,0.0000  
./neq/LoopUnreach20 : not equiv,0.3410   ; unknown,0.0000   ; not equiv,0.1209   ; unknown,0.0000  
./neq/LoopUnreach5  : not equiv,0.3260   ; unknown,0.0000   ; not equiv,0.1212   ; unknown,0.0000  
./neq/getSign       : not equiv,0.3205   ; unknown,0.0000   ; not equiv,0.1160   ; unknown,0.0000  
