./nestedMerge/EQ_AddEQ_UnchLoop/libA CC2-Hybrid: equiv    ,40.2866  (Solve) ,,40.130 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1043  	llReve: equiv    ,0.1300  
./nestedMerge/EQ_AddEQ_is_prime2/libA CC2-Hybrid: equiv    ,2.1143   (Solve) ,,1.419  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0956  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_AddEQ_odd/libA     CC2-Hybrid: equiv    ,0.8426   (Solve) ,,0.273  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0858  	llReve: unknown  ,0.0100  
./nestedMerge/EQ_AddEQ_pos/libA     CC2-Hybrid: equiv    ,11.1459  (Solve) ,,10.961 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1034  	llReve: unknown  ,0.0100  
./nestedMerge/EQ_AddEQ_pos2/libA    CC2-Hybrid: equiv    ,0.2435   (Solve) ,,0.114  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0876  	llReve: not equiv ,0.0300  
./nestedMerge/EQ_AddEXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,78.8790  (Solve) ,,77.642 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1080  	llReve: timeout  ,300.0000
./nestedMerge/EQ_ConstEQ_UnchLoop/libA CC2-Hybrid: equiv    ,40.3071  (Solve) ,,40.156 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1016  	llReve: equiv    ,0.1300  
./nestedMerge/EQ_ConstEQ_is_prime2/libA CC2-Hybrid: equiv    ,2.0090   (Solve) ,,1.322  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0941  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_ConstEQ_odd/libA   CC2-Hybrid: equiv    ,0.8266   (Solve) ,,0.268  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0843  	llReve: unknown  ,0.0100  
./nestedMerge/EQ_ConstEQ_pos/libA   CC2-Hybrid: equiv    ,11.1390  (Solve) ,,10.955 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1043  	llReve: unknown  ,0.0100  
./nestedMerge/EQ_ConstEQ_pos2/libA  CC2-Hybrid: equiv    ,0.2504   (Solve) ,,0.120  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0866  	llReve: not equiv ,0.0300  
./nestedMerge/EQ_ConstEXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,77.9194  (Solve) ,,76.688 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1100  	llReve: timeout  ,300.0000
./nestedMerge/EQ_LoopMult20EQ_UnchLoop/libA CC2-Hybrid: equiv    ,40.3070  (Solve) ,,40.133 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1402  	llReve: equiv    ,0.1400  
./nestedMerge/EQ_LoopMult20EQ_is_prime2/libA CC2-Hybrid: not equiv ,1.2215   (Solve) ,,0.818  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.4175  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_LoopMult20EQ_odd/libA CC2-Hybrid: equiv    ,1.1408   (Solve) ,,0.543  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2521  	llReve: unknown  ,0.0100  
./nestedMerge/EQ_LoopMult20EQ_pos/libA CC2-Hybrid: equiv    ,0.6866   (Solve) ,,0.468  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.4245  	llReve: unknown  ,0.0100  
./nestedMerge/EQ_LoopMult20EQ_pos2/libA CC2-Hybrid: equiv    ,0.2907   (Solve) ,,0.112  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.4270  	llReve: not equiv ,0.0300  
./nestedMerge/EQ_LoopMult20EXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,78.0586  (Solve) ,,76.775 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.4089  	llReve: timeout  ,300.0000
./nestedMerge/EQ_LoopUnreach20EQ_UnchLoop/libA CC2-Hybrid: equiv    ,40.2979  (Solve) ,,40.125 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1398  	llReve: equiv    ,0.1400  
./nestedMerge/EQ_LoopUnreach20EQ_is_prime2/libA CC2-Hybrid: not equiv ,1.2100   (Solve) ,,0.810  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.4139  	llReve: unknown  ,0.0200  
