./nestedMerge/EQ_AddEQ_UnchLoop/libA: equiv,40.2866  ; unknown,0.0000   ; equiv,0.1043   ; equiv,0.1300  
./nestedMerge/EQ_AddEQ_is_prime2/libA: equiv,2.1143   ; unknown,0.0000   ; equiv,0.0956   ; unknown,0.0200  
./nestedMerge/EQ_AddEQ_odd/libA: equiv,0.8426   ; unknown,0.0000   ; equiv,0.0858   ; unknown,0.0100  
./nestedMerge/EQ_AddEQ_pos/libA: equiv,11.1459  ; unknown,0.0000   ; equiv,0.1034   ; unknown,0.0100  
./nestedMerge/EQ_AddEQ_pos2/libA: equiv,0.2435   ; unknown,0.0000   ; equiv,0.0876   ; not equiv,0.0300  
./nestedMerge/EQ_AddEXTRA_ultra_prime_sum/libA: equiv,78.8790  ; unknown,0.0000   ; equiv,0.1080   ; timeout,300.0000
./nestedMerge/EQ_ConstEQ_UnchLoop/libA: equiv,40.3071  ; unknown,0.0000   ; equiv,0.1016   ; equiv,0.1300  
./nestedMerge/EQ_ConstEQ_is_prime2/libA: equiv,2.0090   ; unknown,0.0000   ; equiv,0.0941   ; unknown,0.0200  
./nestedMerge/EQ_ConstEQ_odd/libA: equiv,0.8266   ; unknown,0.0000   ; equiv,0.0843   ; unknown,0.0100  
./nestedMerge/EQ_ConstEQ_pos/libA: equiv,11.1390  ; unknown,0.0000   ; equiv,0.1043   ; unknown,0.0100  
./nestedMerge/EQ_ConstEQ_pos2/libA: equiv,0.2504   ; unknown,0.0000   ; equiv,0.0866   ; not equiv,0.0300  
./nestedMerge/EQ_ConstEXTRA_ultra_prime_sum/libA: equiv,77.9194  ; unknown,0.0000   ; equiv,0.1100   ; timeout,300.0000
./nestedMerge/EQ_LoopMult20EQ_UnchLoop/libA: equiv,40.3070  ; unknown,0.0000   ; equiv,0.1402   ; equiv,0.1400  
./nestedMerge/EQ_LoopMult20EQ_is_prime2/libA: not equiv,1.2215   ; unknown,0.0000   ; not equiv,0.4175   ; unknown,0.0200  
./nestedMerge/EQ_LoopMult20EQ_odd/libA: equiv,1.1408   ; unknown,0.0000   ; equiv,0.2521   ; unknown,0.0100  
./nestedMerge/EQ_LoopMult20EQ_pos/libA: equiv,0.6866   ; unknown,0.0000   ; equiv,0.4245   ; unknown,0.0100  
./nestedMerge/EQ_LoopMult20EQ_pos2/libA: equiv,0.2907   ; unknown,0.0000   ; equiv,0.4270   ; not equiv,0.0300  
./nestedMerge/EQ_LoopMult20EXTRA_ultra_prime_sum/libA: equiv,78.0586  ; unknown,0.0000   ; equiv,0.4089   ; timeout,300.0000
./nestedMerge/EQ_LoopUnreach20EQ_UnchLoop/libA: equiv,40.2979  ; unknown,0.0000   ; equiv,0.1398   ; equiv,0.1400  
./nestedMerge/EQ_LoopUnreach20EQ_is_prime2/libA: not equiv,1.2100   ; unknown,0.0000   ; not equiv,0.4139   ; unknown,0.0200  
./nestedMerge/EQ_LoopUnreach20EQ_odd/libA: equiv,1.1301   ; unknown,0.0000   ; equiv,0.2510   ; unknown,0.0100  
./nestedMerge/EQ_LoopUnreach20EQ_pos/libA: equiv,0.6917   ; unknown,0.0000   ; equiv,0.4251   ; unknown,0.0100  
./nestedMerge/EQ_LoopUnreach20EQ_pos2/libA: equiv,0.2883   ; unknown,0.0000   ; equiv,0.4288   ; not equiv,0.0300  
./nestedMerge/EQ_LoopUnreach20EXTRA_ultra_prime_sum/libA: equiv,83.8505  ; unknown,0.0000   ; equiv,0.4192   ; timeout,300.0000
./nestedMerge/EQ_UnchLoopEQ_Add/libA: equiv,0.1666   ; unknown,0.0000   ; equiv,0.0977   ; equiv,0.0300  
./nestedMerge/EQ_UnchLoopEQ_Const/libA: equiv,0.1461   ; unknown,0.0000   ; equiv,0.0987   ; equiv,0.0300  
./nestedMerge/EQ_UnchLoopEQ_LoopMult20/libA: equiv,1.0226   ; unknown,0.0000   ; equiv,0.0996   ; equiv,0.0300  
./nestedMerge/EQ_UnchLoopEQ_LoopUnreach20/libA: equiv,1.0431   ; unknown,0.0000   ; equiv,0.1030   ; equiv,0.0300  
./nestedMerge/EQ_UnchLoopEQ_UnchLoop/libA: equiv,40.2578  ; unknown,0.0000   ; equiv,0.1044   ; equiv,0.1300  
./nestedMerge/EQ_UnchLoopEQ_divide/libA: equiv,0.1665   ; unknown,0.0000   ; equiv,0.0867   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_getSign2/libA: equiv,0.7793   ; unknown,0.0000   ; equiv,0.0869   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_is_prime1/libA: equiv,0.9848   ; unknown,0.0000   ; equiv,0.0929   ; unknown,0.0200  
./nestedMerge/EQ_UnchLoopEQ_is_prime2/libA: equiv,2.0177   ; unknown,0.0000   ; equiv,0.0949   ; unknown,0.0200  
./nestedMerge/EQ_UnchLoopEQ_is_prime3/libA: equiv,1.2789   ; unknown,0.0000   ; equiv,0.1013   ; unknown,0.0200  
./nestedMerge/EQ_UnchLoopEQ_ltfive/libA: equiv,1.0912   ; unknown,0.0000   ; equiv,0.0864   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_ltfiveBound/libA: equiv,0.4332   ; unknown,0.0000   ; equiv,0.0898   ; equiv,0.0300  
./nestedMerge/EQ_UnchLoopEQ_multiple/libA: equiv,0.7936   ; unknown,0.0000   ; equiv,0.0842   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_multipleBound/libA: equiv,0.8200   ; unknown,0.0000   ; equiv,0.0864   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_odd/libA: equiv,0.8271   ; unknown,0.0000   ; equiv,0.0849   ; unknown,0.0100  
./nestedMerge/EQ_UnchLoopEQ_one/libA: not equiv,0.6026   ; unknown,0.0000   ; not equiv,0.0898   ; not equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_oneBound/libA: equiv,0.4197   ; unknown,0.0000   ; equiv,0.0889   ; equiv,0.0200  
./nestedMerge/EQ_UnchLoopEQ_oneN2/libA: equiv,1.0695   ; unknown,0.0000   ; equiv,0.0860   ; equiv,0.0200  
