./multLibs/EQ_divide/1              CC2-Hybrid: equiv    ,2.4722   (Solve) ,,0.644  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2849  	llReve: equiv    ,1.6700  
./multLibs/EQ_divide/10             CC2-Hybrid: equiv    ,4.5077   (Solve) ,,2.174  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,1.1096  	llReve: timeout  ,300.0000
./multLibs/EQ_divide/11             CC2-Hybrid: equiv    ,45.3654  (Solve) ,,28.543 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,59.1427 	llReve: timeout  ,300.0000
./multLibs/EQ_divide/12             CC2-Hybrid: equiv    ,21.7086  (Solve) ,,10.352 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,61.3980 	llReve: timeout  ,300.0000
./multLibs/EQ_divide/13             CC2-Hybrid: equiv    ,28.8322  (Solve) ,,10.152 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,133.3523	llReve: timeout  ,300.0000
./multLibs/EQ_divide/14             CC2-Hybrid: equiv    ,37.3338  (Solve) ,,10.074 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,145.9097	llReve: timeout  ,300.0000
./multLibs/EQ_divide/15             CC2-Hybrid: equiv    ,12.6073  (Solve) ,,5.539  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,79.2309 	llReve: timeout  ,300.0000
./multLibs/EQ_divide/2              CC2-Hybrid: equiv    ,57.7234  (Solve) ,,47.933 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,44.6839 	llReve: equiv    ,3.3100  
./multLibs/EQ_divide/3              CC2-Hybrid: equiv    ,14.5378  (Solve) ,,14.222 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2523  	llReve: equiv    ,0.1100  
./multLibs/EQ_divide/4              CC2-Hybrid: equiv    ,0.5148   (Solve) ,,0.117  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2252  	llReve: equiv    ,0.3800  
./multLibs/EQ_divide/5              CC2-Hybrid: equiv    ,0.6897   (Solve) ,,0.125  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2294  	llReve: equiv    ,1.7800  
./multLibs/EQ_divide/6              CC2-Hybrid: equiv    ,0.9053   (Solve) ,,0.111  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2899  	llReve: equiv    ,8.9100  
./multLibs/EQ_divide/7              CC2-Hybrid: equiv    ,1.2897   (Solve) ,,0.117  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.3435  	llReve: equiv    ,41.8300 
./multLibs/EQ_divide/8              CC2-Hybrid: equiv    ,1.5367   (Solve) ,,0.117  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.3943  	llReve: equiv    ,193.6800
./multLibs/EQ_divide/9              CC2-Hybrid: equiv    ,2.0082   (Solve) ,,0.117  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.6119  	llReve: timeout  ,300.0000
./multLibs/EQ_getSign2/1            CC2-Hybrid: equiv    ,155.4135 (Solve) ,,56.403 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,1.0163  	llReve: equiv    ,17.3400 
./multLibs/EQ_getSign2/10           CC2-Hybrid: equiv    ,16.8259  (Solve) ,,14.169 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,1.3852  	llReve: timeout  ,300.0000
./multLibs/EQ_getSign2/11           CC2-Hybrid: equiv    ,5.5104   (Solve) ,,3.219  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,2.4849  	llReve: timeout  ,300.0000
./multLibs/EQ_getSign2/12           CC2-Hybrid: equiv    ,5.4730   (Solve) ,,2.734  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,5.1194  	llReve: timeout  ,300.0000
./multLibs/EQ_getSign2/13           CC2-Hybrid: equiv    ,8.7876   (Solve) ,,5.441  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,11.4613 	llReve: timeout  ,300.0000
./multLibs/EQ_getSign2/14           CC2-Hybrid: equiv    ,14.2344  (Solve) ,,10.238 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,26.7457 	llReve: timeout  ,300.0000
./multLibs/EQ_getSign2/15           CC2-Hybrid: equiv    ,14.9442  (Solve) ,,10.257 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,64.4963 	llReve: timeout  ,300.0000
./multLibs/EQ_getSign2/2            CC2-Hybrid: equiv    ,0.4673   (Solve) ,,0.241  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1892  	llReve: equiv    ,0.0500  
./multLibs/EQ_getSign2/3            CC2-Hybrid: equiv    ,0.5782   (Solve) ,,0.293  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2552  	llReve: equiv    ,0.0600  
./multLibs/EQ_getSign2/4            CC2-Hybrid: equiv    ,0.7060   (Solve) ,,0.322  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2802  	llReve: equiv    ,0.1700  
./multLibs/EQ_getSign2/5            CC2-Hybrid: equiv    ,0.8903   (Solve) ,,0.354  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.3211  	llReve: equiv    ,0.7400  
./multLibs/EQ_getSign2/6            CC2-Hybrid: equiv    ,1.1261   (Solve) ,,0.407  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.3770  	llReve: equiv    ,3.1400  
./multLibs/EQ_getSign2/7            CC2-Hybrid: equiv    ,1.4044   (Solve) ,,0.478  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.4451  	llReve: equiv    ,8.4100  
./multLibs/EQ_getSign2/8            CC2-Hybrid: equiv    ,1.7225   (Solve) ,,0.536  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.5563  	llReve: equiv    ,22.4400 
./multLibs/EQ_getSign2/9            CC2-Hybrid: equiv    ,2.1826   (Solve) ,,0.660  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.7810  	llReve: equiv    ,111.5700
./multLibs/EQ_is_prime1/1           CC2-Hybrid: equiv    ,1.3803   (Solve) ,,0.599  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1118  	llReve: unknown  ,0.1000  
./multLibs/EQ_is_prime1/10          CC2-Hybrid: equiv    ,0.9152   (Solve) ,,0.252  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1257  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime1/11          CC2-Hybrid: equiv    ,0.9367   (Solve) ,,0.190  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1209  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime1/12          CC2-Hybrid: equiv    ,1.0235   (Solve) ,,0.195  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1255  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime1/13          CC2-Hybrid: equiv    ,1.1299   (Solve) ,,0.196  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1258  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime1/14          CC2-Hybrid: equiv    ,1.2582   (Solve) ,,0.204  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1287  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime1/15          CC2-Hybrid: equiv    ,1.3362   (Solve) ,,0.196  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1273  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime1/2           CC2-Hybrid: equiv    ,0.3968   (Solve) ,,0.190  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1145  	llReve: unknown  ,0.0100  
./multLibs/EQ_is_prime1/3           CC2-Hybrid: equiv    ,0.4456   (Solve) ,,0.193  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1138  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime1/4           CC2-Hybrid: equiv    ,0.4751   (Solve) ,,0.189  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1075  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime1/5           CC2-Hybrid: equiv    ,0.5204   (Solve) ,,0.187  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1167  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime1/6           CC2-Hybrid: equiv    ,0.5896   (Solve) ,,0.204  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1207  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime1/7           CC2-Hybrid: equiv    ,0.6507   (Solve) ,,0.199  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1113  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime1/8           CC2-Hybrid: equiv    ,0.6984   (Solve) ,,0.194  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1198  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime1/9           CC2-Hybrid: equiv    ,0.7799   (Solve) ,,0.200  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1172  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime2/1           CC2-Hybrid: not equiv ,1.5254   (Solve) ,,1.144  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.7376  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime2/10          CC2-Hybrid: not equiv ,36.5069  (Solve) ,,31.380 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,160.9916	llReve: unknown  ,0.1300  
./multLibs/EQ_is_prime2/11          CC2-Hybrid: not equiv ,38.3942  (Solve) ,,32.148 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.1200  
./multLibs/EQ_is_prime2/12          CC2-Hybrid: not equiv ,64.4141  (Solve) ,,56.706 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.1400  
./multLibs/EQ_is_prime2/13          CC2-Hybrid: timeout  ,300.0000 (Solve) ,,0.000  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.1400  
./multLibs/EQ_is_prime2/14          CC2-Hybrid: not equiv ,72.3957  (Solve) ,,61.272 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.1600  
./multLibs/EQ_is_prime2/15          CC2-Hybrid: timeout  ,300.0000 (Solve) ,,0.000  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.1900  
./multLibs/EQ_is_prime2/2           CC2-Hybrid: not equiv ,2.2472   (Solve) ,,1.674  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,1.3194  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime2/3           CC2-Hybrid: not equiv ,3.1184   (Solve) ,,2.356  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,2.0094  	llReve: unknown  ,0.0300  
./multLibs/EQ_is_prime2/4           CC2-Hybrid: not equiv ,4.0831   (Solve) ,,3.042  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,2.9085  	llReve: unknown  ,0.0300  
./multLibs/EQ_is_prime2/5           CC2-Hybrid: not equiv ,5.1957   (Solve) ,,3.760  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,4.4536  	llReve: unknown  ,0.0400  
./multLibs/EQ_is_prime2/6           CC2-Hybrid: not equiv ,6.5632   (Solve) ,,4.667  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,7.4191  	llReve: unknown  ,0.0900  
./multLibs/EQ_is_prime2/7           CC2-Hybrid: not equiv ,8.4395   (Solve) ,,5.966  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,13.8871 	llReve: unknown  ,0.0600  
./multLibs/EQ_is_prime2/8           CC2-Hybrid: not equiv ,10.9705  (Solve) ,,7.750  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,31.4619 	llReve: unknown  ,0.0800  
./multLibs/EQ_is_prime2/9           CC2-Hybrid: not equiv ,43.8941  (Solve) ,,39.855 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,68.5916 	llReve: unknown  ,0.0800  
./multLibs/EQ_is_prime3/1           CC2-Hybrid: equiv    ,2.6153   (Solve) ,,1.581  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.7551  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime3/10          CC2-Hybrid: equiv    ,147.9736 (Solve) ,,18.054 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.1100  
./multLibs/EQ_is_prime3/11          CC2-Hybrid: equiv    ,219.7652 (Solve) ,,20.021 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.1200  
./multLibs/EQ_is_prime3/12          CC2-Hybrid: timeout  ,300.0000 (Solve) ,,0.000  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.1600  
./multLibs/EQ_is_prime3/13          CC2-Hybrid: timeout  ,300.0000 (Solve) ,,0.000  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.1500  
./multLibs/EQ_is_prime3/14          CC2-Hybrid: timeout  ,300.0000 (Solve) ,,0.000  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.2000  
./multLibs/EQ_is_prime3/15          CC2-Hybrid: timeout  ,300.0000 (Solve) ,,0.000  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.1700  
./multLibs/EQ_is_prime3/2           CC2-Hybrid: equiv    ,14.1508  (Solve) ,,12.667 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,1.8599  	llReve: unknown  ,0.0200  
./multLibs/EQ_is_prime3/3           CC2-Hybrid: equiv    ,9.5992   (Solve) ,,5.397  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,16.6910 	llReve: unknown  ,0.0300  
./multLibs/EQ_is_prime3/4           CC2-Hybrid: equiv    ,14.4366  (Solve) ,,7.245  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0800  
./multLibs/EQ_is_prime3/5           CC2-Hybrid: equiv    ,23.3918  (Solve) ,,10.821 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0600  
./multLibs/EQ_is_prime3/6           CC2-Hybrid: equiv    ,31.6676  (Solve) ,,11.163 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0700  
./multLibs/EQ_is_prime3/7           CC2-Hybrid: equiv    ,46.9726  (Solve) ,,12.727 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0900  
