./nestedMerge/EQ_AddEQ_LoopMult20/libA: equiv,1.2100   ; unknown,0.0000   ; equiv,0.2400   ; equiv,0.0500  
./nestedMerge/EQ_AddEQ_UnchLoop/libA: equiv,40.4100  ; unknown,0.0000   ; equiv,0.2300   ; equiv,0.1600  
./nestedMerge/EQ_AddEQ_odd/libA: equiv,0.9600   ; unknown,0.0000   ; equiv,0.2100   ; unknown,0.0400  
./nestedMerge/EQ_AddEQ_pos/libA: equiv,11.2800  ; unknown,0.0000   ; equiv,0.2300   ; unknown,0.0300  
./nestedMerge/EQ_AddEQ_pos2/libA: equiv,0.3700   ; unknown,0.0000   ; equiv,0.2100   ; not equiv,0.0400  
./nestedMerge/EQ_AddEXTRA_ultra_prime_sum/libA: equiv,84.0800  ; unknown,0.0000   ; equiv,0.2600   ; timeout,300.0000
./nestedMerge/EQ_ConstEQ_LoopMult20/libA: equiv,1.2000   ; unknown,0.0000   ; equiv,0.2300   ; equiv,0.0300  
./nestedMerge/EQ_ConstEQ_UnchLoop/libA: equiv,40.4200  ; unknown,0.0000   ; equiv,0.2200   ; equiv,0.1500  
./nestedMerge/EQ_ConstEQ_odd/libA: equiv,0.9600   ; unknown,0.0000   ; equiv,0.2100   ; unknown,0.0300  
./nestedMerge/EQ_ConstEQ_pos/libA: equiv,11.2600  ; unknown,0.0000   ; equiv,0.2300   ; unknown,0.0300  
./nestedMerge/EQ_ConstEQ_pos2/libA: equiv,0.3700   ; unknown,0.0000   ; equiv,0.2100   ; not equiv,0.0500  
./nestedMerge/EQ_ConstEXTRA_ultra_prime_sum/libA: equiv,83.6000  ; unknown,0.0000   ; equiv,0.2400   ; timeout,300.0000
./nestedMerge/EQ_LoopMult20EQ_Add/libA: equiv,0.3300   ; unknown,0.0000   ; equiv,0.2600   ; equiv,0.0400  
./nestedMerge/EQ_LoopMult20EQ_Const/libA: equiv,0.3000   ; unknown,0.0000   ; equiv,0.2600   ; equiv,0.0200  
./nestedMerge/EQ_LoopMult20EQ_LoopMult20/libA: equiv,1.9600   ; unknown,0.0000   ; equiv,0.5200   ; equiv,6.5400  
./nestedMerge/EQ_LoopMult20EQ_LoopUnreach20/libA: equiv,1.3700   ; unknown,0.0000   ; equiv,0.2900   ; equiv,0.0200  
./nestedMerge/EQ_LoopMult20EQ_UnchLoop/libA: equiv,40.4300  ; unknown,0.0000   ; equiv,0.2600   ; equiv,0.1500  
./nestedMerge/EQ_LoopMult20EQ_divide/libA: equiv,0.3200   ; unknown,0.0000   ; equiv,0.2500   ; equiv,0.0200  
./nestedMerge/EQ_LoopMult20EQ_getSign2/libA: equiv,1.1100   ; unknown,0.0000   ; equiv,0.2900   ; equiv,0.0400  
./nestedMerge/EQ_LoopMult20EQ_is_prime1/libA: equiv,1.3000   ; unknown,0.0000   ; equiv,0.2600   ; unknown,0.0200  
./nestedMerge/EQ_LoopMult20EQ_is_prime2/libA: not equiv,1.3600   ; unknown,0.0000   ; not equiv,0.5400   ; unknown,0.0300  
./nestedMerge/EQ_LoopMult20EQ_is_prime3/libA: equiv,1.8600   ; unknown,0.0000   ; equiv,0.3800   ; unknown,0.0200  
./nestedMerge/EQ_LoopMult20EQ_ltfive/libA: equiv,0.5700   ; unknown,0.0000   ; equiv,0.2900   ; equiv,0.0300  
./nestedMerge/EQ_LoopMult20EQ_ltfiveBound/libA: equiv,0.6100   ; unknown,0.0000   ; equiv,0.3100   ; equiv,0.0300  
./nestedMerge/EQ_LoopMult20EQ_multiple/libA: equiv,1.0600   ; unknown,0.0000   ; equiv,0.3000   ; equiv,0.0200  
./nestedMerge/EQ_LoopMult20EQ_multipleBound/libA: equiv,1.1200   ; unknown,0.0000   ; equiv,0.3300   ; equiv,0.0300  
./nestedMerge/EQ_LoopMult20EQ_odd/libA: equiv,1.2500   ; unknown,0.0000   ; equiv,0.3700   ; unknown,0.0400  
./nestedMerge/EQ_LoopMult20EQ_one/libA: equiv,0.5300   ; unknown,0.0000   ; equiv,0.2800   ; equiv,0.0300  
./nestedMerge/EQ_LoopMult20EQ_oneBound/libA: equiv,0.5800   ; unknown,0.0000   ; equiv,0.2900   ; equiv,0.0400  
./nestedMerge/EQ_LoopMult20EQ_oneN2/libA: equiv,0.5300   ; unknown,0.0000   ; equiv,0.2700   ; equiv,0.0400  
./nestedMerge/EQ_LoopMult20EQ_pos/libA: equiv,0.8100   ; unknown,0.0000   ; equiv,0.5500   ; unknown,0.0400  
./nestedMerge/EQ_LoopMult20EQ_pos2/libA: equiv,0.4200   ; unknown,0.0000   ; equiv,0.5700   ; not equiv,0.0600  
./nestedMerge/EQ_LoopMult20EQ_pos3/libA: equiv,1.0500   ; unknown,0.0000   ; equiv,0.2600   ; equiv,0.0300  
