./mergedHard/EQ_AddEQ_LoopMult20/libA: equiv,0.3000   ; unknown,0.0000   ; equiv,0.2600   ; equiv,1.5000  
./mergedHard/EQ_AddEQ_UnchLoop/libA: equiv,0.2900   ; unknown,0.0000   ; equiv,0.2200   ; equiv,0.0500  
./mergedHard/EQ_AddEQ_odd/libA: equiv,0.3100   ; unknown,0.0000   ; equiv,0.2200   ; equiv,0.0400  
./mergedHard/EQ_AddEQ_pos/libA: equiv,0.3400   ; unknown,0.0000   ; equiv,0.2200   ; equiv,0.0200  
./mergedHard/EQ_AddEQ_pos2/libA: equiv,0.3300   ; unknown,0.0000   ; equiv,0.2300   ; equiv,0.0200  
./mergedHard/EQ_AddEXTRA_ultra_prime_sum/libA: equiv,0.5800   ; unknown,0.0000   ; timeout,300.0000 ; equiv,0.1400  
./mergedHard/EQ_ConstEQ_LoopMult20/libA: equiv,0.3200   ; unknown,0.0000   ; equiv,0.2500   ; equiv,0.0400  
./mergedHard/EQ_ConstEQ_UnchLoop/libA: equiv,0.2800   ; unknown,0.0000   ; equiv,0.1900   ; equiv,0.0300  
./mergedHard/EQ_ConstEQ_odd/libA: equiv,0.3100   ; unknown,0.0000   ; equiv,0.2200   ; equiv,0.0200  
./mergedHard/EQ_ConstEQ_pos/libA: equiv,0.3400   ; unknown,0.0000   ; equiv,0.2300   ; equiv,0.0200  
./mergedHard/EQ_ConstEQ_pos2/libA: equiv,0.3400   ; unknown,0.0000   ; equiv,0.2200   ; equiv,0.0200  
./mergedHard/EQ_ConstEXTRA_ultra_prime_sum/libA: equiv,0.5900   ; unknown,0.0000   ; timeout,300.0000 ; equiv,0.0500  
./mergedHard/EQ_LoopMult20EQ_Add/libA: equiv,0.7600   ; unknown,0.0000   ; equiv,0.4900   ; timeout,300.0000
./mergedHard/EQ_LoopMult20EQ_Const/libA: equiv,0.7600   ; unknown,0.0000   ; equiv,0.5000   ; timeout,300.0000
./mergedHard/EQ_LoopMult20EQ_LoopMult20/libA: equiv,1.2100   ; unknown,0.0000   ; equiv,0.9600   ; equiv,34.3200 
./mergedHard/EQ_LoopMult20EQ_LoopUnreach20/libA: equiv,1.2400   ; unknown,0.0000   ; equiv,0.9500   ; equiv,34.1400 
./mergedHard/EQ_LoopMult20EQ_UnchLoop/libA: equiv,0.7700   ; unknown,0.0000   ; equiv,0.4900   ; timeout,300.0000
