./mergedHard/EQ_AddEQ_LoopMult20/libA: equiv,0.1816   ; equiv,0.3576   ; equiv,0.1333   ; unknown,0.0000  
./mergedHard/EQ_AddEQ_UnchLoop/libA: equiv,0.1578   ; equiv,0.3376   ; equiv,0.1436   ; unknown,0.0000  
./mergedHard/EQ_AddEQ_odd/libA: equiv,0.1840   ; equiv,0.3205   ; equiv,0.1317   ; unknown,0.0000  
./mergedHard/EQ_AddEQ_pos/libA: equiv,0.2138   ; equiv,0.3328   ; equiv,0.1162   ; unknown,0.0000  
./mergedHard/EQ_AddEQ_pos2/libA: equiv,0.2122   ; equiv,0.3666   ; equiv,0.1249   ; unknown,0.0000  
./mergedHard/EQ_AddEXTRA_ultra_prime_sum/libA: equiv,0.4894   ; equiv,0.6324   ; equiv,0.3245   ; unknown,0.0000  
./mergedHard/EQ_ConstEQ_LoopMult20/libA: equiv,0.1835   ; equiv,0.3427   ; equiv,0.1166   ; unknown,0.0000  
./mergedHard/EQ_ConstEQ_UnchLoop/libA: equiv,0.1645   ; equiv,0.3173   ; equiv,0.1315   ; unknown,0.0000  
./mergedHard/EQ_ConstEQ_odd/libA: equiv,0.1840   ; equiv,0.3295   ; equiv,0.1221   ; unknown,0.0000  
./mergedHard/EQ_ConstEQ_pos/libA: equiv,0.2163   ; equiv,0.3649   ; equiv,0.1319   ; unknown,0.0000  
./mergedHard/EQ_ConstEQ_pos2/libA: equiv,0.2188   ; equiv,0.3804   ; equiv,0.1206   ; unknown,0.0000  
./mergedHard/EQ_ConstEXTRA_ultra_prime_sum/libA: equiv,0.5057   ; equiv,0.6690   ; equiv,0.3720   ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_Add/libA: equiv,0.6122   ; equiv,0.9445   ; equiv,0.5453   ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_Const/libA: equiv,0.6085   ; equiv,0.9357   ; equiv,0.5601   ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_LoopMult20/libA: equiv,1.0780   ; equiv,1.4431   ; equiv,0.9868   ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_LoopUnreach20/libA: equiv,1.1083   ; equiv,1.4265   ; equiv,0.9998   ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_UnchLoop/libA: equiv,0.6525   ; equiv,0.9023   ; equiv,0.5380   ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_divide/libA: not equiv,0.7085   ; not equiv,1.2712   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_getSign2/libA: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000 ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_is_prime1/libA: equiv,11.5879  ; equiv,12.2138  ; equiv,11.7379  ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_is_prime2/libA: equiv,12.0963  ; equiv,43.3165  ; equiv,42.7677  ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_is_prime3/libA: not equiv,3.6267   ; not equiv,3.7451   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_ltfive/libA: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000 ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_ltfiveBound/libA: equiv,19.9496  ; equiv,25.7088  ; equiv,25.0983  ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_multiple/libA: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000 ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_multipleBound/libA: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000 ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_odd/libA: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000 ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_one/libA: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000 ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_oneBound/libA: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000 ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_oneN2/libA: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000 ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_pos/libA: equiv,0.6794   ; equiv,0.9895   ; equiv,0.5426   ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_pos2/libA: equiv,0.6551   ; equiv,1.0148   ; equiv,0.5477   ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EQ_pos3/libA: equiv,0.6089   ; equiv,0.9535   ; equiv,0.5431   ; unknown,0.0000  
./mergedHard/EQ_LoopMult20EXTRA_ultra_prime_sum/libA: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000 ; unknown,0.0000  
./mergedHard/EQ_LoopMult20NEQ_LoopMult20/libA: equiv,1.0912   ; equiv,1.3870   ; equiv,1.0008   ; unknown,0.0000  
./mergedHard/EQ_LoopMult20NEQ_LoopUnreach20/libA: equiv,1.0943   ; equiv,1.3799   ; equiv,0.9896   ; unknown,0.0000  
./mergedHard/EQ_LoopMult20NEQ_getSign/libA: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000 ; unknown,0.0000  
./mergedHard/EQ_LoopUnreach20EQ_LoopMult20/libA: equiv,0.4139   ; equiv,0.7324   ; equiv,0.3060   ; unknown,0.0000  
./mergedHard/EQ_LoopUnreach20EQ_UnchLoop/libA: equiv,0.3327   ; equiv,0.6575   ; equiv,0.2748   ; unknown,0.0000  
./mergedHard/EQ_LoopUnreach20EQ_odd/libA: equiv,0.3797   ; equiv,0.7057   ; equiv,0.2912   ; unknown,0.0000  
./mergedHard/EQ_LoopUnreach20EQ_pos/libA: equiv,0.4387   ; equiv,0.7653   ; equiv,0.3322   ; unknown,0.0000  
./mergedHard/EQ_LoopUnreach20EQ_pos2/libA: equiv,0.4356   ; equiv,0.7130   ; equiv,0.2864   ; unknown,0.0000  
./mergedHard/EQ_LoopUnreach20EXTRA_ultra_prime_sum/libA: equiv,2.8268   ; equiv,3.7686   ; equiv,1.9637   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_Add/libA: equiv,0.1844   ; equiv,0.3394   ; equiv,0.1417   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_Const/libA: equiv,0.1850   ; equiv,0.3035   ; equiv,0.1369   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_LoopMult20/libA: equiv,0.2098   ; equiv,0.3526   ; equiv,0.1514   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_LoopUnreach20/libA: equiv,0.2155   ; equiv,0.3622   ; equiv,0.1459   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_UnchLoop/libA: equiv,0.1853   ; equiv,0.3119   ; equiv,0.1460   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_divide/libA: equiv,0.2144   ; equiv,0.3243   ; equiv,0.1465   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_getSign2/libA: equiv,0.2076   ; equiv,0.3263   ; equiv,0.1260   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_is_prime1/libA: equiv,0.1904   ; equiv,0.3421   ; equiv,0.1461   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_is_prime2/libA: equiv,0.2396   ; equiv,0.3622   ; equiv,0.1261   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_is_prime3/libA: equiv,0.4480   ; equiv,0.5240   ; equiv,0.2721   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_ltfive/libA: equiv,0.2768   ; equiv,0.4191   ; equiv,0.1355   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_ltfiveBound/libA: equiv,0.3062   ; equiv,0.4473   ; equiv,0.1361   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_multiple/libA: equiv,0.2160   ; equiv,0.3791   ; equiv,0.1459   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_multipleBound/libA: equiv,0.2384   ; equiv,0.3791   ; equiv,0.1367   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_odd/libA: equiv,0.2094   ; equiv,0.3743   ; equiv,0.1506   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_one/libA: equiv,0.2326   ; equiv,0.3939   ; equiv,0.1511   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_oneBound/libA: equiv,0.2616   ; equiv,0.4064   ; equiv,0.1463   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_oneN2/libA: equiv,0.2339   ; equiv,0.3986   ; equiv,0.1301   ; unknown,0.0000  
./mergedHard/EQ_UnchLoopEQ_pos/libA: equiv,0.2460   ; equiv,0.3765   ; equiv,0.1269   ; unknown,0.0000  
