./mergedHard/EQ_AddEQ_UnchLoop/libA: equiv,0.1561  , equiv,0.0080  , unknown,0.0000  , equiv,0.0957  
./mergedHard/EQ_AddEQ_UnchLoop/libB: equiv,40.2789 , not equiv,0.0950  , unknown,0.0000  , equiv,0.0925  
./mergedHard/EQ_AddEQ_UnchLoop/libA: equiv,0.1381  , equiv,0.0080  , unknown,0.0000  , equiv,0.0750  
./mergedHard/EQ_AddEQ_UnchLoop/libB: equiv,40.2228 , not equiv,0.0920  , unknown,0.0000  , equiv,0.0933  
./mergedHard/EQ_AddEQ_is_prime2/libA: equiv,0.2040  , equiv,0.0070  , unknown,0.0000  , equiv,0.1008  
./mergedHard/EQ_AddEQ_is_prime2/libB: equiv,0.7754  , unknown,0.0000  , unknown,0.0000  , equiv,0.6193  
./mergedHard/EQ_AddEQ_odd/libA: equiv,0.1726  , equiv,0.0080  , unknown,0.0000  , equiv,0.0985  
./mergedHard/EQ_AddEQ_UnchLoop/libA: equiv,0.1438  , equiv,0.0080  , unknown,0.0000  , equiv,0.0806  
./mergedHard/EQ_AddEQ_UnchLoop/libB: equiv,40.2301 , not equiv,0.0910  , unknown,0.0000  , equiv,0.0913  
./mergedHard/EQ_AddEQ_is_prime2/libA: equiv,0.2015  , equiv,0.0080  , unknown,0.0000  , equiv,0.1013  
./mergedHard/EQ_AddEQ_is_prime2/libB: equiv,0.7916  , unknown,0.0000  , unknown,0.0000  , equiv,0.6182  
./mergedHard/EQ_AddEQ_odd/libA: equiv,0.1727  , equiv,0.0070  , unknown,0.0000  , equiv,0.1003  
./mergedHard/EQ_AddEQ_odd/libB: equiv,11.6584 , equiv,0.2000  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_AddEQ_pos/libA: equiv,0.2216  , equiv,0.0080  , unknown,0.0000  , equiv,0.0967  
./mergedHard/EQ_AddEQ_pos/libB: not equiv,0.4795  , not equiv,0.0260  , unknown,0.0000  , not equiv,0.1801  
./mergedHard/EQ_AddEQ_pos2/libA: equiv,0.1961  , equiv,0.0080  , unknown,0.0000  , equiv,0.0962  
./mergedHard/EQ_AddEQ_pos2/libB: equiv,13.0503 , not equiv,0.0240  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_AddEXTRA_ultra_prime_sum/libA: equiv,0.4066  , equiv,0.0080  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_AddEXTRA_ultra_prime_sum/libB: not equiv,44.5035 , not equiv,0.6620  , unknown,0.0000  , not equiv,0.1602  
./mergedHard/EQ_ConstEQ_UnchLoop/libA: equiv,0.1230  , equiv,0.0260  , unknown,0.0000  , equiv,0.0720  
./mergedHard/EQ_ConstEQ_UnchLoop/libB: equiv,40.2255 , not equiv,0.0920  , unknown,0.0000  , equiv,0.0935  
./mergedHard/EQ_ConstEQ_is_prime2/libA: equiv,0.2042  , equiv,0.0230  , unknown,0.0000  , equiv,0.1014  
./mergedHard/EQ_ConstEQ_is_prime2/libB: equiv,0.7912  , unknown,0.0000  , unknown,0.0000  , equiv,0.6271  
