./mergedHard_CallMerge/EQ_AddEQ_UnchLoop/libA: equiv,0.1524   ; unknown,0.0000   ; equiv,0.0863  
./mergedHard_CallMerge/EQ_AddEQ_UnchLoop/libB: equiv,40.2234  ; unknown,0.0000   ; equiv,0.1054  
./mergedHard_CallMerge/EQ_AddEQ_is_prime2/libA: equiv,0.1824   ; unknown,0.0000   ; equiv,0.0910  
./mergedHard_CallMerge/EQ_AddEQ_is_prime2/libB: equiv,0.2276   ; unknown,0.0000   ; equiv,0.0970  
./mergedHard_CallMerge/EQ_AddEQ_odd/libA: equiv,0.1611   ; unknown,0.0000   ; equiv,0.0893  
./mergedHard_CallMerge/EQ_AddEQ_odd/libB: equiv,10.3837  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_AddEQ_pos/libA: equiv,0.2019   ; unknown,0.0000   ; equiv,0.0872  
./mergedHard_CallMerge/EQ_AddEQ_pos/libB: unknown,0.0000   ; unknown,0.0000   ; equiv,0.0919  
./mergedHard_CallMerge/EQ_AddEQ_pos2/libA: equiv,0.1816   ; unknown,0.0000   ; equiv,0.0886  
./mergedHard_CallMerge/EQ_AddEQ_pos2/libB: equiv,10.3719  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_AddEXTRA_ultra_prime_sum/libA: equiv,0.4455   ; unknown,0.0000   ; equiv,0.1173  
./mergedHard_CallMerge/EQ_AddEXTRA_ultra_prime_sum/libB: equiv,85.3156  ; unknown,0.0000   ; equiv,0.1376  
./mergedHard_CallMerge/EQ_ConstEQ_UnchLoop/libA: equiv,0.1251   ; unknown,0.0000   ; equiv,0.0851  
./mergedHard_CallMerge/EQ_ConstEQ_UnchLoop/libB: equiv,40.2379  ; unknown,0.0000   ; equiv,0.1076  
./mergedHard_CallMerge/EQ_ConstEQ_is_prime2/libA: equiv,0.1845   ; unknown,0.0000   ; equiv,0.0912  
./mergedHard_CallMerge/EQ_ConstEQ_is_prime2/libB: equiv,0.2308   ; unknown,0.0000   ; equiv,0.1022  
./mergedHard_CallMerge/EQ_ConstEQ_odd/libA: equiv,0.1633   ; unknown,0.0000   ; equiv,0.0917  
./mergedHard_CallMerge/EQ_ConstEQ_odd/libB: equiv,10.3671  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_ConstEQ_pos/libA: equiv,0.2060   ; unknown,0.0000   ; equiv,0.0876  
./mergedHard_CallMerge/EQ_ConstEQ_pos/libB: unknown,0.0000   ; unknown,0.0000   ; equiv,0.0916  
./mergedHard_CallMerge/EQ_ConstEQ_pos2/libA: equiv,0.1858   ; unknown,0.0000   ; equiv,0.0888  
./mergedHard_CallMerge/EQ_ConstEQ_pos2/libB: equiv,10.3708  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_ConstEXTRA_ultra_prime_sum/libA: equiv,0.4563   ; unknown,0.0000   ; equiv,0.1206  
./mergedHard_CallMerge/EQ_ConstEXTRA_ultra_prime_sum/libB: equiv,85.2352  ; unknown,0.0000   ; equiv,0.1318  
./mergedHard_CallMerge/EQ_LoopMult20EQ_UnchLoop/libA: equiv,0.5100   ; unknown,0.0000   ; equiv,0.3546  
./mergedHard_CallMerge/EQ_LoopMult20EQ_UnchLoop/libB: equiv,0.4209   ; unknown,0.0000   ; equiv,0.3443  
./mergedHard_CallMerge/EQ_LoopMult20EQ_is_prime2/libA: equiv,1.3085   ; unknown,0.0000   ; equiv,0.4036  
./mergedHard_CallMerge/EQ_LoopMult20EQ_is_prime2/libB: equiv,2.5124   ; unknown,0.0000   ; equiv,0.3853  
./mergedHard_CallMerge/EQ_LoopMult20EQ_odd/libA: timeout,300.0000 ; unknown,0.0000   ; equiv,12.3787 
./mergedHard_CallMerge/EQ_LoopMult20EQ_odd/libB: not equiv,2.4998   ; unknown,0.0000   ; not equiv,0.2425  
