./mergedHard/EQ_AddEQ_UnchLoop/libA: equiv,0.1513   ; unknown,0.0000   ; equiv,0.0739  
./mergedHard/EQ_AddEQ_UnchLoop/libB: equiv,40.2475  ; unknown,0.0000   ; equiv,0.0935  
./mergedHard/EQ_AddEQ_is_prime2/libA: equiv,0.2029   ; unknown,0.0000   ; equiv,0.1016  
./mergedHard/EQ_AddEQ_is_prime2/libB: not equiv,1.0823   ; unknown,0.0000   ; not equiv,0.6085  
./mergedHard/EQ_AddEQ_odd/libA: equiv,0.1735   ; unknown,0.0000   ; equiv,0.1022  
./mergedHard/EQ_AddEQ_odd/libB: equiv,11.6529  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_AddEQ_pos/libA: equiv,0.2250   ; unknown,0.0000   ; equiv,0.1005  
./mergedHard/EQ_AddEQ_pos/libB: not equiv,0.4843   ; unknown,0.0000   ; not equiv,0.1824  
./mergedHard/EQ_AddEQ_pos2/libA: equiv,0.1994   ; unknown,0.0000   ; equiv,0.0998  
./mergedHard/EQ_AddEQ_pos2/libB: equiv,12.8828  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_AddEXTRA_ultra_prime_sum/libA: equiv,0.4146   ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_AddEXTRA_ultra_prime_sum/libB: not equiv,44.7831  ; unknown,0.0000   ; not equiv,0.1375  
./mergedHard/EQ_ConstEQ_UnchLoop/libA: equiv,0.1251   ; unknown,0.0000   ; equiv,0.0728  
./mergedHard/EQ_ConstEQ_UnchLoop/libB: equiv,40.2375  ; unknown,0.0000   ; equiv,0.0934  
./mergedHard/EQ_ConstEQ_is_prime2/libA: equiv,0.2060   ; unknown,0.0000   ; equiv,0.1030  
./mergedHard/EQ_ConstEQ_is_prime2/libB: not equiv,0.9856   ; unknown,0.0000   ; not equiv,0.6164  
./mergedHard/EQ_ConstEQ_odd/libA: equiv,0.1769   ; unknown,0.0000   ; equiv,0.1025  
./mergedHard/EQ_ConstEQ_odd/libB: equiv,11.6560  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_ConstEQ_pos/libA: equiv,0.2397   ; unknown,0.0000   ; equiv,0.0989  
./mergedHard/EQ_ConstEQ_pos/libB: not equiv,0.4870   ; unknown,0.0000   ; not equiv,0.1844  
./mergedHard/EQ_ConstEQ_pos2/libA: equiv,0.1995   ; unknown,0.0000   ; equiv,0.1002  
./mergedHard/EQ_ConstEQ_pos2/libB: equiv,12.8882  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_ConstEXTRA_ultra_prime_sum/libA: equiv,0.4183   ; unknown,0.0000   ; timeout,300.0000
