./nestedMerge/EQ_AddEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_AddEQ_is_prime2/libA: equiv,0.9761   ; unknown,0.0000   ; equiv,0.0869  
./nestedMerge/EQ_AddEQ_odd/libA: equiv,0.7788   ; unknown,0.0000   ; equiv,0.0766  
./nestedMerge/EQ_AddEQ_pos/libA: equiv,0.7229   ; unknown,0.0000   ; equiv,0.0774  
./nestedMerge/EQ_AddEQ_pos2/libA: equiv,11.3100  ; unknown,0.0000   ; equiv,0.1298  
./nestedMerge/EQ_AddEXTRA_ultra_prime_sum/libA: equiv,78.3132  ; unknown,0.0000   ; equiv,0.1038  
./nestedMerge/EQ_ConstEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_ConstEQ_is_prime2/libA: equiv,0.9435   ; unknown,0.0000   ; equiv,0.0850  
./nestedMerge/EQ_ConstEQ_odd/libA: equiv,0.7709   ; unknown,0.0000   ; equiv,0.0762  
./nestedMerge/EQ_ConstEQ_pos/libA: equiv,0.7220   ; unknown,0.0000   ; equiv,0.0766  
./nestedMerge/EQ_ConstEQ_pos2/libA: equiv,11.2945  ; unknown,0.0000   ; equiv,0.0990  
./nestedMerge/EQ_ConstEXTRA_ultra_prime_sum/libA: equiv,78.2150  ; unknown,0.0000   ; equiv,0.1115  
./nestedMerge/EQ_LoopMult20EQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_LoopMult20EQ_is_prime2/libA: equiv,1.0960   ; unknown,0.0000   ; not equiv,0.3939  
./nestedMerge/EQ_LoopMult20EQ_odd/libA: equiv,1.0372   ; unknown,0.0000   ; equiv,0.2359  
./nestedMerge/EQ_LoopMult20EQ_pos/libA: equiv,1.1436   ; unknown,0.0000   ; equiv,0.3943  
./nestedMerge/EQ_LoopMult20EQ_pos2/libA: equiv,11.3111  ; unknown,0.0000   ; equiv,0.4146  
./nestedMerge/EQ_LoopMult20EXTRA_ultra_prime_sum/libA: equiv,42.4483  ; unknown,0.0000   ; equiv,0.3721  
./nestedMerge/EQ_LoopUnreach20EQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_LoopUnreach20EQ_is_prime2/libA: equiv,1.0856   ; unknown,0.0000   ; not equiv,0.3855  
./nestedMerge/EQ_LoopUnreach20EQ_odd/libA: equiv,1.0412   ; unknown,0.0000   ; equiv,0.2354  
./nestedMerge/EQ_LoopUnreach20EQ_pos/libA: equiv,1.1921   ; unknown,0.0000   ; equiv,0.3951  
./nestedMerge/EQ_LoopUnreach20EQ_pos2/libA: equiv,11.3149  ; unknown,0.0000   ; equiv,0.4239  
./nestedMerge/EQ_LoopUnreach20EXTRA_ultra_prime_sum/libA: equiv,42.3791  ; unknown,0.0000   ; equiv,0.3718  
