./mergedHard/EQ_AddEQ_UnchLoop/libA: equiv,0.1562   ; unknown,0.0000   ; equiv,0.0807   ; equiv,0.0200  
./mergedHard/EQ_AddEQ_is_prime2/libA: equiv,0.2083   ; unknown,0.0000   ; equiv,0.1088   ; equiv,0.0200  
./mergedHard/EQ_AddEQ_odd/libA: equiv,0.1811   ; unknown,0.0000   ; equiv,0.1066   ; equiv,0.0200  
./mergedHard/EQ_AddEQ_pos/libA: equiv,0.2107   ; unknown,0.0000   ; equiv,0.1069   ; equiv,0.0200  
./mergedHard/EQ_AddEQ_pos2/libA: equiv,0.2123   ; unknown,0.0000   ; equiv,0.1069   ; equiv,0.0200  
./mergedHard/EQ_AddEXTRA_ultra_prime_sum/libA: equiv,0.4212   ; unknown,0.0000   ; timeout,300.0000 ; equiv,0.0300  
./mergedHard/EQ_ConstEQ_UnchLoop/libA: equiv,0.1535   ; unknown,0.0000   ; equiv,0.0833   ; equiv,0.0200  
./mergedHard/EQ_ConstEQ_is_prime2/libA: equiv,0.2113   ; unknown,0.0000   ; equiv,0.1097   ; equiv,0.0200  
./mergedHard/EQ_ConstEQ_odd/libA: equiv,0.1846   ; unknown,0.0000   ; equiv,0.1052   ; equiv,0.0200  
./mergedHard/EQ_ConstEQ_pos/libA: equiv,0.2124   ; unknown,0.0000   ; equiv,0.1053   ; equiv,0.0200  
./mergedHard/EQ_ConstEQ_pos2/libA: equiv,0.2128   ; unknown,0.0000   ; equiv,0.1073   ; equiv,0.0300  
./mergedHard/EQ_ConstEXTRA_ultra_prime_sum/libA: equiv,0.4207   ; unknown,0.0000   ; timeout,300.0000 ; equiv,0.0200  
./mergedHard/EQ_LoopMult20EQ_UnchLoop/libA: equiv,0.6434   ; unknown,0.0000   ; equiv,0.3899   ; timeout,300.0000
./mergedHard/EQ_LoopMult20EQ_is_prime2/libA: equiv,12.1365  ; unknown,0.0000   ; timeout,300.0000 ; equiv,62.9100 
./mergedHard/EQ_LoopMult20EQ_odd/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000 ; timeout,300.0000
./mergedHard/EQ_LoopMult20EQ_pos/libA: equiv,0.6871   ; unknown,0.0000   ; equiv,0.4006   ; equiv,9.5800  
./mergedHard/EQ_LoopMult20EQ_pos2/libA: equiv,0.6864   ; unknown,0.0000   ; equiv,0.4012   ; equiv,9.5100  
